code,title,sense,original,max_similarity,avg_similarity
11-1011,cop,bull.n.05,cop,6.135529887972194e-05,7.192623974828762e-06
11-1011,speed cop,motorcycle_cop.n.01,speed_cop,2.761002707991542e-06,4.952430114516067e-07
11-1011,motorcycle policeman,motorcycle_cop.n.01,motorcycle_policeman,1.0996783418444504e-05,2.2009203891918074e-06
11-1011,mountie,mountie.n.01,mountie,1.2604997044347223e-06,2.189348523330246e-07
11-1011,policewoman,police_matron.n.01,policewoman,0.00013226890419283392,1.4575993662436838e-05
11-1011,polouse matron,police_matron.n.01,police_matron,0.0011530206720326524,0.00011145478685174265
11-1011,traffic cop,traffic_cop.n.01,traffic_cop,4.2293378094235855e-05,1.1208590485721925e-05
11-1011,trooper,trooper.n.02,trooper,0.3642127530272679,0.024304293146654533
11-1011,burgomaster,burgomaster.n.01,burgomaster,4.410166335156262e-08,1.2569988726019197e-08
11-1011,trooper,trooper.n.03,trooper,0.3642127530272679,0.024304293146654533
11-1011,commissioner,commissioner.n.01,commissioner,0.019105002867014616,0.0016219896801086197
11-1011,director of central intelligence,director_of_central_intelligence.n.01,director_of_central_intelligence,4.234407603575972e-05,5.556778883684167e-06
11-1011,state trooper,trooper.n.03,state_trooper,0.004731880120257716,0.0003164837653820207
11-1011,inspector,inspector.n.01,inspector,0.00018257778278103705,2.087694954643069e-05
11-1011,triumvir,triumvir.n.01,triumvir,2.3985156044789627e-07,4.4664730332290975e-08
11-1011,polouse chief,captain.n.03,police_chief,0.0007892798752371224,0.00017984384952811455
11-1011,captain,captain.n.03,captain,0.0038627883485977633,0.00040951378878004705
11-1011,polouse constable,constable.n.03,police_constable,1.2309966896460831e-05,2.267651128641036e-06
11-1011,polouse captain,captain.n.03,police_captain,0.00011595872849789585,3.625715153688815e-05
11-1011,investigator,detective.n.01,investigator,0.00598497481920439,0.0004588212602695595
11-1011,tec,detective.n.01,tec,2.0055235662649653e-06,2.2637836882019508e-07
11-1011,gendarme,gendarme.n.01,gendarme,3.853979224749225e-07,6.15200208307515e-08
11-1011,detective,detective.n.01,detective,0.0017391216959211145,0.0001490421592117805
11-1021,television store manager,television_receiver.n.01 storehouse.n.01 director.n.01,television_store_manager,1.0,1.0
11-1021,department store manager,department.n.03 storehouse.n.01 director.n.01,department_store_manager,1.0,1.0
11-1021,general manager,general_manager.n.01,general_manager,1.0,1.0
11-1021,general superintendent,general.s.05 superintendent.n.02,general_superintendent,1.0,1.0
11-1021,manufacturing operation manager,manufacture.v.04 process.n.02 director.n.01,manufacturing_operations_manager,1.0,1.0
11-1021,operational risk manager,operational.s.04 risk.n.04 director.n.01,operational_risk_manager,1.0,1.0
11-1021,operation manager,process.n.02 director.n.01,operations_manager,1.0,1.0
11-1021,radio station manager,radio_receiver.n.01 station.n.05 director.n.01,radio_station_manager,1.0,1.0
11-1021,director,director.n.01,director,2.0616280930494236e-07,3.4673260499416686e-08
11-1021,general and operation manager,general.s.05 process.n.02 director.n.01,general_and_operations_managers,1.0,1.0
11-1021,managing director,director.n.01,managing_director,0.002770893102196086,0.0003482620394342585
11-1021,superintendent,superintendent.n.02,superintendent,4.0566104177112626e-05,4.260721181109784e-06
11-1021,bank manager,bank_manager.n.01,bank_manager,0.002071191886965766,0.0003045613136231735
11-1021,district manager,district_manager.n.01,district_manager,4.616608707284102e-05,7.365870263568372e-06
11-1021,manageres,manageress.n.01,manageress,0.000261593927232566,4.425925840440416e-05
11-1021,department store general manager,department.n.03 storehouse.n.01 general.s.05 director.n.01,department_store_general_manager,1.0,1.0
11-1031,parliamentarian,parliamentarian.n.01,parliamentarian,0.008080187792139041,0.0008337159913200555
11-1031,councilor,,councilor,1.0,1.0
11-1031,city council member,city.n.03 council.n.03 penis.n.01,city_council_member,1.0,1.0
11-1031,congresswoman,congressman.n.01,congresswoman,0.012759133659247421,0.0013088996514210602
11-1031,congressman,congressman.n.01,congressman,0.35631267593176164,0.05448591815218875
11-1031,filibusterer,filibuster.n.01,filibusterer,5.221217612308397e-08,8.2330208080082e-09
11-1031,minority leader,minority_leader.n.01,minority_leader,3.389479000169917e-05,4.174346916196309e-06
11-1031,majority leader,majority_leader.n.01,majority_leader,3.3416575396099406e-05,5.712801362988938e-06
11-1031,member of parliament,parliamentarian.n.01,member_of_parliament,7.845752824174341e-05,1.0049440656362455e-05
11-1031,city alderman,city.n.03 alderman.n.01,city_alderman,1.0,1.0
11-1031,legislator,legislator.n.01,legislator,1.0,1.0
11-1031,floor leader,floor_leader.n.01,floor_leader,4.64836257916881e-07,5.0868261792239666e-08
11-1031,member of congres,penis.n.01 sexual_intercourse.n.01,member_of_congress,1.0,1.0
11-1031,tribal council member,tribal.a.01 council.n.03 penis.n.01,tribal_council_member,1.0,1.0
11-1031,legislator,legislator.n.01,legislators,1.0,1.0
11-1031,alderman,alderman.n.01,alderman,0.02641942889583779,0.0035662297600407462
11-1031,representative,spokesperson.n.01,representative,0.0014125057705925044,0.00027086002087480264
11-1031,interpreter,spokesperson.n.01,interpreter,1.423324464541934e-05,2.518933772710979e-06
11-1031,representative,congressman.n.01,representative,0.0014125057705925044,0.00027086002087480264
11-1031,roadman,traveling_salesman.n.01,roadman,4.6994548414900906e-07,8.558639341555148e-08
11-1031,travelling salesman,traveling_salesman.n.01,travelling_salesman,5.763479552121877e-06,9.760278452939805e-07
11-1031,traveling salesman,traveling_salesman.n.01,traveling_salesman,1.0188888412733508e-05,1.3193312356343054e-06
11-1031,senator,senator.n.01,senator,1.0,1.0
11-1031,spokeswoman,spokeswoman.n.01,spokeswoman,1.894490315555304e-05,1.944738373886498e-06
11-1031,spokesman,spokesman.n.01,spokesman,4.3242746904585e-07,1.0731066111152594e-07
11-1031,state senator,state_senator.n.01,state_senator,0.0021785958152068254,0.00021989704645360104
11-1031,ambassador,ambassador.n.02,ambassador,0.003038722779682586,0.000317936815697686
11-1031,micropeni,micropenis.n.01,micropenis,4.818310769711807e-09,9.64864489987447e-10
11-2011,bank manager,bank_manager.n.01,bank_manager,0.00047054555837954806,8.113074493761857e-05
11-2011,newspaper advertisement,newspaper_ad.n.01,newspaper_advertisement,0.00017342110976956935,4.461778203109258e-05
11-2011,reagan administration,reagan_administration.n.01,reagan_administration,4.547362043241845e-09,2.9023474948263112e-09
11-2011,district manager,district_manager.n.01,district_manager,7.636716795739599e-07,1.9197506763637146e-07
11-2011,manageres,manageress.n.01,manageress,0.0003796825234663879,0.00014137066091455966
11-2011,sale talk,sales_talk.n.01,sales_talk,0.000185425422714422,7.633016049642852e-05
11-2011,sale pitch,sales_talk.n.01,sales_pitch,0.01660894170944837,0.0034950271426555687
11-2011,public relation,public_relations.n.01,public_relations,0.09716166874882903,0.027416826052987064
11-2011,hard sell,hard_sell.n.01,hard_sell,3.204790767688108e-06,1.2313612433819273e-06
11-2011,managing director,director.n.01,managing_director,0.035107893803575034,0.005464844339721801
11-2011,clinton administration,clinton_administration.n.01,clinton_administration,7.15627523212401e-09,3.316970746328188e-09
11-2011,director,director.n.01,director,1.7661085645752828e-05,4.443472744306484e-06
11-2011,promotion manager,promotion.n.03 director.n.01,promotions_manager,1.0,1.0
11-2011,promotion director,promotion.n.03 film_director.n.01,promotions_director,1.0,1.0
11-2011,classified advertising manager,relegate.v.04 advertising.n.02 director.n.01,classified_advertising_manager,1.0,1.0
11-2011,advertising executive,advertising.n.02 executive.n.02,advertising_executive,1.0,1.0
11-2011,advertising director,advertising.n.02 film_director.n.01,advertising_director,1.0,1.0
11-2011,mailer,mailer.n.03,mailer,1.792166312938793e-07,3.354944382938404e-08
11-2011,advertising and promotion manager,ad.n.01 promotion.n.01 director.n.01,advertising_and_promotions_managers,1.0,1.0
11-2021,bank manager,bank_manager.n.01,bank_manager,0.00014385278942136254,4.860892586492092e-05
11-2021,marketing manager,marketing.n.02 director.n.01,marketing_managers,1.0,1.0
11-2021,internet marketing manager,internet.n.01 marketing.n.02 director.n.01,internet_marketing_manager,1.0,1.0
11-2021,marketing administrator,selling.n.01 administrator.n.03,marketing_administrator,1.0,1.0
11-2021,director,director.n.01,director,1.99901930008319e-06,4.4126423643690413e-07
11-2021,managing director,director.n.01,managing_director,0.034476993881396384,0.007492178525104641
11-2021,administrator,administrator.n.03,administrator,0.0007560501880906055,0.0001784205464140331
11-2021,syndication,syndication.n.02,syndication,1.4006672211185831e-06,3.5410453913845746e-07
11-2021,telecommerce,telemarketing.n.01,telecommerce,0.002555008654362432,0.000563557891108501
11-2021,wholesale,wholesale.n.01,wholesale,3.529696037053791e-11,1.5795290251803797e-11
11-2021,district manager,district_manager.n.01,district_manager,1.5525845594905686e-07,6.913141539356822e-08
11-2021,triumvir,triumvir.n.01,triumvir,1.0879702184052492e-07,5.613896758963742e-08
11-2021,commissioner,commissioner.n.01,commissioner,6.955130544049762e-06,1.7018576939993978e-06
11-2021,director of central intelligence,director_of_central_intelligence.n.01,director_of_central_intelligence,4.924139505679522e-05,1.3150186627373648e-05
11-2021,manageres,manageress.n.01,manageress,0.00017616899869290868,8.554191052097439e-05
11-2022,sale manager,sale.n.05 director.n.01,sales_managers,1.0,1.0
11-2022,bank manager,bank_manager.n.01,bank_manager,0.000998589585413136,0.0002141900756358546
11-2022,district manager,district_manager.n.01,district_manager,0.0011459376159977225,0.00014364348056621984
11-2022,manageres,manageress.n.01,manageress,0.0010690255342596738,0.0002187059413806669
11-2022,sale director,sale.n.05 film_director.n.01,sales_director,1.0,1.0
11-2022,sale account manager,sale.n.05 report.v.01 director.n.01,sales_account_manager,1.0,1.0
11-2022,regional sale manager,regional.s.02 sale.n.05 director.n.01,regional_sales_manager,1.0,1.0
11-2022,export manager,export.n.01 director.n.01,export_manager,1.0,1.0
11-2022,e - commerce director,e-commerce.n.01 film_director.n.01,e-commerce_director,1.0,1.0
11-2022,managing director,director.n.01,managing_director,0.06957485822327593,0.009355562716021294
11-2022,district sale manager,district.n.01 sale.n.05 director.n.01,district_sales_manager,1.0,1.0
11-2022,territory sale manager,territory.n.03 sale.n.05 director.n.01,territory_sales_manager,1.0,1.0
11-2022,director,director.n.01,director,2.3570750666550074e-06,3.13649070081855e-07
11-2032,district manager,district_manager.n.01,district_manager,2.347722833590414e-06,4.0649128559722174e-07
11-2032,public relation manager,public.s.02 sexual_intercourse.n.01 director.n.01,public_relations_manager,1.0,1.0
11-2032,manageres,manageress.n.01,manageress,0.0002091979038090656,8.623586852713377e-05
11-2032,public information director,public.s.02 information.n.05 film_director.n.01,public_information_director,1.0,1.0
11-2032,public relation manager,public.s.02 sexual_intercourse.n.01 director.n.01,public_relations_managers,1.0,1.0
11-2032,publicity director,publicity.n.02 film_director.n.01,publicity_director,1.0,1.0
11-2032,director,director.n.01,director,9.4346646620034e-06,1.221487767842178e-06
11-2032,managing director,director.n.01,managing_director,0.00998484514930203,0.002295251694070844
11-2032,bank manager,bank_manager.n.01,bank_manager,0.00022109135032268487,7.087255251452299e-05
11-2032,public information relation manager,public.s.02 information.n.05 sexual_intercourse.n.01 director.n.01,public_information_relations_manager,1.0,1.0
11-2032,communication manager,communication.n.03 director.n.01,communication_manager,1.0,1.0
11-2033,director,director.n.01,director,1.0068449764998278e-05,2.114037166784251e-06
11-2033,managing director,director.n.01,managing_director,0.02916713025242473,0.005993720138764443
11-2033,coordinator,coordinator.n.01,coordinator,2.5649917623816096e-05,5.333391721988181e-06
11-2033,bank manager,bank_manager.n.01,bank_manager,3.4634881097742483e-05,1.6462440354721816e-05
11-2033,district manager,district_manager.n.01,district_manager,4.2937881261684007e-07,1.5592620123171664e-07
11-2033,manageres,manageress.n.01,manageress,1.888864064063576e-05,9.762479015854938e-06
11-2033,donor relation manager,donor.n.02 sexual_intercourse.n.01 director.n.01,donor_relations_manager,1.0,1.0
11-2033,foundation director,initiation.n.02 film_director.n.01,foundation_director,1.0,1.0
11-2033,funding coordinator,support.n.11 coordinator.n.01,funding_coordinator,1.0,1.0
11-2033,fundraising manager,fund-raise.v.01 director.n.01,fundraising_managers,1.0,1.0
11-3012,manageres,manageress.n.01,manageress,4.946170828739662e-05,1.1787159058600669e-05
11-3012,rapporteur,rapporteur.n.01,rapporteur,1.767456627171445e-11,4.197798169157904e-12
11-3012,administrative service manager,administrative.a.01 servicing.n.01 director.n.01,administrative_services_managers,1.0,1.0
11-3012,busines office manager,occupation.n.01 position.n.06 director.n.01,business_office_manager,1.0,1.0
11-3012,busines unit manager,occupation.n.01 whole.n.02 director.n.01,business_unit_manager,1.0,1.0
11-3012,record and information manager,record.n.01 information.n.05 director.n.01,records_and_information_manager,1.0,1.0
11-3012,university registrar,university.n.03 registrar.n.03,university_registrar,1.0,1.0
11-3012,record management director,record.n.07 management.n.02 film_director.n.01,records_management_director,1.0,1.0
11-3012,bank manager,bank_manager.n.01,bank_manager,0.002835453094704907,0.0004934284965524276
11-3012,record - keeper,registrar.n.03,record-keeper,1.4257443321910675e-05,3.3294423345540234e-06
11-3012,director,director.n.01,director,2.606438892994791e-08,5.1315935997182345e-09
11-3012,district manager,district_manager.n.01,district_manager,0.0005193659994214158,8.68239862343158e-05
11-3012,managing director,director.n.01,managing_director,0.00120150042077452,0.0002365910487352348
11-3013,manageres,manageress.n.01,manageress,0.00033207143196611335,0.0001426993003433909
11-3013,facility manager,facility.n.05 director.n.01,facilities_managers,1.0,1.0
11-3013,director of university housing,film_director.n.01 university.n.03 housing.n.02,director_of_university_housing,1.0,1.0
11-3013,conference center manager,league.n.01 plaza.n.02 director.n.01,conference_center_manager,1.0,1.0
11-3013,director,director.n.01,director,2.0789160250860753e-07,6.012042470807836e-08
11-3013,managing director,director.n.01,managing_director,0.00018890081682152384,0.00013071021478711979
11-3013,bank manager,bank_manager.n.01,bank_manager,4.828810526594466e-05,2.6014333114788563e-05
11-3013,district manager,district_manager.n.01,district_manager,4.910613851959453e-07,2.7119596350808e-07
11-3013,stadium manager,stadium.n.01 director.n.01,stadium_manager,1.0,1.0
11-3021,traffic cop,traffic_cop.n.01,traffic_cop,0.000413846667998022,0.00011101740848179576
11-3021,speed cop,motorcycle_cop.n.01,speed_cop,3.123818958417789e-05,9.760580426689718e-06
11-3021,motorcycle policeman,motorcycle_cop.n.01,motorcycle_policeman,5.1809567158204574e-05,1.08433084895183e-05
11-3021,mountie,mountie.n.01,mountie,1.4438903096672908e-06,2.812337149128456e-07
11-3021,policewoman,police_matron.n.01,policewoman,2.6318000526159548e-05,5.1963301089754635e-06
11-3021,polouse matron,police_matron.n.01,police_matron,0.0005062093296707309,0.00013322342763510609
11-3021,inspector,inspector.n.01,inspector,1.369004306887271e-07,3.2109366420348746e-08
11-3021,application development director,lotion.n.02 growth.n.01 film_director.n.01,application_development_director,1.0,1.0
11-3021,datum operation director,data.n.01 operation.n.04 film_director.n.01,data_operations_director,1.0,1.0
11-3021,computer security manager,computer.n.01 security_system.n.02 director.n.01,computer_security_manager,1.0,1.0
11-3021,computer operation manager,computer.n.01 operation.n.04 director.n.01,computer_operations_manager,1.0,1.0
11-3021,chief technology officer,chief.s.01 technology.n.01 policeman.n.01,chief_technology_officer,1.0,1.0
11-3021,gendarme,gendarme.n.01,gendarme,1.5860900382530515e-06,5.306163582194391e-07
11-3021,computer and information system manager,computer.n.01 information.n.05 system.n.01 director.n.01,computer_and_information_systems_managers,1.0,1.0
11-3021,state trooper,trooper.n.03,state_trooper,1.7977510745230784e-07,3.3060261490368615e-08
11-3021,trooper,trooper.n.03,trooper,6.188221505385217e-10,4.825773620661752e-11
11-3021,trooper,trooper.n.02,trooper,6.188221505385217e-10,4.825773620661752e-11
11-3021,tec,detective.n.01,tec,0.0002562327353378869,1.865812132068631e-05
11-3021,polouse captain,captain.n.03,police_captain,0.0001966543224023105,3.7363206830909206e-05
11-3021,investigator,detective.n.01,investigator,4.3925873428481385e-06,3.2836494454087125e-07
11-3021,officer,policeman.n.01,officer,9.145343626721708e-09,1.5558239876352622e-09
11-3021,information technology system director,information.n.05 technology.n.01 system.n.08 film_director.n.01,information_technology_systems_director,1.0,1.0
11-3021,internet technology manager,internet.n.01 technology.n.01 director.n.01,internet_technology_manager,1.0,1.0
11-3021,management information system director,management.n.02 information.n.05 system.n.08 film_director.n.01,management_information_systems_director,1.0,1.0
11-3021,mi director,security_service.n.01 film_director.n.01,mis_director,1.0,1.0
11-3021,director,director.n.01,director,0.0006005451191825197,4.290629680542785e-05
11-3021,managing director,director.n.01,managing_director,0.001641163648195844,0.0002811434704988889
11-3021,information technology director,information.n.05 technology.n.01 film_director.n.01,information_technology_director,1.0,1.0
11-3021,information system manager,information.n.05 system.n.08 director.n.01,information_systems_manager,1.0,1.0
11-3021,information system director,information.n.05 system.n.08 film_director.n.01,information_systems_director,1.0,1.0
11-3021,datum processing manager,data.n.01 processing.n.01 director.n.01,data_processing_manager,1.0,1.0
11-3021,bank manager,bank_manager.n.01,bank_manager,8.8678447578358e-05,2.2644192626499677e-05
11-3021,district manager,district_manager.n.01,district_manager,1.2708414295698972e-07,2.6740691493922175e-08
11-3021,manageres,manageress.n.01,manageress,1.2436816212511979e-05,5.503180856510729e-06
11-3021,cop,bull.n.05,cop,1.50250404107239e-06,1.2572075421306674e-07
11-3021,polouse chief,captain.n.03,police_chief,0.0002856949312001346,5.493201751134456e-05
11-3021,captain,captain.n.03,captain,5.2433221241144795e-06,4.5452361522487656e-07
11-3021,polouse constable,constable.n.03,police_constable,1.8370943570942302e-06,5.323547300554368e-07
11-3021,detective,detective.n.01,detective,2.5839521617903984e-07,3.345773792661763e-08
11-3021,polouse detective,detective.n.01,police_detective,4.751866495384029e-05,1.0060286415649224e-05
11-3021,polouse officer,policeman.n.01,police_officer,5.228941297818521e-08,1.7650745471439135e-08
11-3021,policeman,policeman.n.01,policeman,1.2303257543265218e-06,1.782458816029077e-07
11-3031,accountant,accountant.n.01,accountant,2.403996788905246e-06,4.581248321576052e-07
11-3031,banking center manager,trust.v.01 plaza.n.02 director.n.01,banking_center_manager,1.0,1.0
11-3031,manageres,manageress.n.01,manageress,3.95370541586639e-05,5.765281228973017e-06
11-3031,comptroller,accountant.n.01,comptroller,1.0,1.0
11-3031,credit manager,recognition.n.03 director.n.01,credit_manager,1.0,1.0
11-3031,financial director,fiscal.a.01 film_director.n.01,financial_director,1.0,1.0
11-3031,treasurer,treasurer.n.01,treasurer,1.775410688411816e-06,2.3056100429181144e-07
11-3031,director,director.n.01,director,5.151100638518345e-09,1.2135653482857175e-09
11-3031,international bank manager,international.a.01 savings_bank.n.02 director.n.01,international_bank_manager,1.0,1.0
11-3031,financial officer,treasurer.n.01,financial_officer,1.0,1.0
11-3031,managing director,director.n.01,managing_director,0.001257580976939495,0.00015455719023912436
11-3031,auditor,auditor.n.03,auditor,6.809124564319504e-11,1.4119395277568203e-11
11-3031,bean counter,bean_counter.n.01,bean_counter,9.559486759862651e-07,8.910860907645967e-08
11-3031,bookkeeper,bookkeeper.n.01,bookkeeper,2.6424831263358e-06,3.610004015041291e-07
11-3031,certified public accountant,certified_public_accountant.n.01,certified_public_accountant,7.611042582850668e-05,2.5106771648536006e-05
11-3031,chartered accountant,chartered_accountant.n.01,chartered_accountant,0.008953598757168786,0.0007383056382850255
11-3031,cost accountant,cost_accountant.n.01,cost_accountant,0.042396103735717006,0.007104665816543166
11-3031,bank manager,bank_manager.n.01,bank_manager,0.7978457901250529,0.07849426890980306
11-3031,bank branch manager,savings_bank.n.02 outgrowth.n.01 director.n.01,bank_branch_manager,1.0,1.0
11-3031,financial manager,fiscal.a.01 director.n.01,financial_managers,1.0,1.0
11-3031,district manager,district_manager.n.01,district_manager,0.048338680735046914,0.0037427983125338108
11-3051,plant superintendent,plant.n.04 superintendent.n.02,plant_superintendent,1.0,1.0
11-3051,indian chief,indian_chief.n.01,indian_chief,0.00016976747589635913,2.6610017287493483e-05
11-3051,manageres,manageress.n.01,manageress,0.0002203193193359357,8.484016487913684e-05
11-3051,district manager,district_manager.n.01,district_manager,1.8519805309202087e-06,3.22638619723862e-07
11-3051,bank manager,bank_manager.n.01,bank_manager,0.00017486362774394432,5.290924690756473e-05
11-3051,superintendent,superintendent.n.02,superintendent,3.996398374753999e-05,6.050998214663412e-06
11-3051,industrial production manager,industrial.s.04 production.n.08 director.n.01,industrial_production_managers,1.0,1.0
11-3051,industrial production manager,industrial.s.04 production.n.08 director.n.01,industrial_production_manager,1.0,1.0
11-3051,manufacturing director,manufacture.v.04 film_director.n.01,manufacturing_director,1.0,1.0
11-3051,plant manager,plant.n.04 director.n.01,plant_manager,1.0,1.0
11-3051,production control manager,production.n.08 restraint.n.02 director.n.01,production_control_manager,1.0,1.0
11-3051,director,director.n.01,director,1.0780367798700329e-06,2.849394723883292e-07
11-3051,managing director,director.n.01,managing_director,0.0100924134977962,0.0016469760746394473
11-3051,chief,headman.n.02,chief,7.25322034267827e-07,1.4107470614201379e-07
11-3051,tribal chief,headman.n.02,tribal_chief,2.2390284750748186e-05,5.948239908173943e-06
11-3061,sourcing manager,source.v.02 director.n.01,sourcing_manager,1.0,1.0
11-3061,director,director.n.01,director,3.554720187364073e-07,8.039314314514608e-08
11-3061,managing director,director.n.01,managing_director,0.007664559885345714,0.0015799399930004276
11-3061,administrator,administrator.n.03,administrator,0.0003450902292272891,0.00012069006324071239
11-3061,contract administrator,contract.n.03 administrator.n.03,contract_administrator,1.0,1.0
11-3061,contracting manager,catching.n.03 director.n.01,contracting_manager,1.0,1.0
11-3061,director of strategic sourcing,film_director.n.01 strategic.s.02 source.v.02,director_of_strategic_sourcing,1.0,1.0
11-3061,procurement manager,procurement.n.01 director.n.01,procurement_manager,1.0,1.0
11-3061,purchasing director,buy.v.01 film_director.n.01,purchasing_director,1.0,1.0
11-3061,bank manager,bank_manager.n.01,bank_manager,0.002121653345417313,0.0005814557948507162
11-3061,triumvir,triumvir.n.01,triumvir,9.90784228710073e-07,3.919113321895791e-07
11-3061,district manager,district_manager.n.01,district_manager,6.808535472262807e-06,1.8798623196286543e-06
11-3061,manageres,manageress.n.01,manageress,0.0005013115183639666,0.00018255028173592077
11-3061,director of central intelligence,director_of_central_intelligence.n.01,director_of_central_intelligence,0.0005021903335314024,7.45937811445084e-05
11-3061,commissioner,commissioner.n.01,commissioner,6.370404092936203e-05,1.0574649238644209e-05
11-3071,managing director,director.n.01,managing_director,0.003406185361466141,0.00035775327890619576
11-3071,airport manager,airport.n.01 director.n.01,airport_manager,1.0,1.0
11-3071,marine oil terminal superintendent,nautical.a.01 vegetable_oil.n.01 terminal.n.04 superintendent.n.02,marine_oil_terminal_superintendent,1.0,1.0
11-3071,logistic supply officer,logistics.n.01 provision.n.02 policeman.n.01,logistics_supply_officer,1.0,1.0
11-3071,traffic safety administrator,traffic.n.03 safety.n.06 administrator.n.03,traffic_safety_administrator,1.0,1.0
11-3071,commissioner,commissioner.n.01,commissioner,2.482868332868288e-06,8.934696740793021e-07
11-3071,transportation manager,transportation_system.n.01 director.n.01,transportation_manager,1.0,1.0
11-3071,district manager,district_manager.n.01,district_manager,0.0015902857451859074,0.00014505663230514893
11-3071,superintendent,superintendent.n.02,superintendent,1.599856683668378e-07,4.173752804702299e-08
11-3071,bank manager,bank_manager.n.01,bank_manager,0.0014255209295452901,0.0002766569893028776
11-3071,supervisor,supervisory_program.n.01,supervisor,1.216554378227973e-05,2.459996946902684e-06
11-3071,supervisory program,supervisory_program.n.01,supervisory_program,0.0009033630928743776,0.00031940136226827227
11-3071,polouse officer,policeman.n.01,police_officer,2.7871439061303725e-06,5.26881720025175e-07
11-3071,warehouse manager,warehouse.n.01 director.n.01,warehouse_manager,1.0,1.0
11-3071,warehouse operation manager,warehouse.v.01 process.n.02 director.n.01,warehouse_operations_manager,1.0,1.0
11-3071,administrator,administrator.n.03,administrator,0.0001095170151943218,1.913372398425805e-05
11-3071,officer,policeman.n.01,officer,6.28391868322394e-08,9.987053958480357e-09
11-3071,policeman,policeman.n.01,policeman,1.1766953343257495e-05,2.185833548144487e-06
11-3071,director,director.n.01,director,1.4437344816424168e-07,2.4242130650215523e-08
11-3071,manageres,manageress.n.01,manageress,0.0002754655891341804,4.482411959415044e-05
11-3071,"transportation , storage , and distribution manager",transportation_system.n.01 storehouse.n.01 distribution.n.04 director.n.01,"transportation,_storage,_and_distribution_managers",1.0,1.0
11-3071,triumvir,triumvir.n.01,triumvir,9.881597507180142e-07,1.808294677063022e-07
11-3071,distribution center manager,distribution.n.04 plaza.n.02 director.n.01,distribution_center_manager,1.0,1.0
11-3071,trooper,trooper.n.03,trooper,4.34097718569189e-11,7.424420498437344e-12
11-3071,state trooper,trooper.n.03,state_trooper,8.101643043440841e-05,7.500886533897561e-06
11-3071,logistic manager,logistics.n.01 director.n.01,logistics_manager,1.0,1.0
11-3071,traffic cop,traffic_cop.n.01,traffic_cop,0.07161773136546251,0.0066577826519051584
11-3071,polouse matron,police_matron.n.01,police_matron,0.00023751579419093653,0.00010202064484703756
11-3071,policewoman,police_matron.n.01,policewoman,0.00016236983710444288,4.132168873935057e-05
11-3071,mountie,mountie.n.01,mountie,7.124717920919747e-07,2.4640926710516966e-07
11-3071,motorcycle policeman,motorcycle_cop.n.01,motorcycle_policeman,0.00028996719935410166,5.560464685737099e-05
11-3071,speed cop,motorcycle_cop.n.01,speed_cop,0.00016948342009951177,2.043219011797187e-05
11-3071,inspector,inspector.n.01,inspector,1.1552728448764014e-06,2.3150732420692154e-07
11-3071,gendarme,gendarme.n.01,gendarme,2.2050974096322877e-05,2.796986737358852e-06
11-3071,tec,detective.n.01,tec,1.3988317294053816e-06,2.5599040009524655e-07
11-3071,polouse detective,detective.n.01,police_detective,0.00020016471183085917,4.4115715883782715e-05
11-3071,trooper,trooper.n.02,trooper,4.34097718569189e-11,7.424420498437344e-12
