code,title,sense,original
11-3012,record management director,,records_management_director
11-3012,administrative service manager,,administrative_services_managers
11-3012,busines unit manager,,business_unit_manager
11-3012,busines office manager,,business_office_manager
11-3013,facility manager,,facilities_managers
11-3013,conference center manager,,conference_center_manager
11-3013,stadium manager,,stadium_manager
11-3013,director of university housing,,director_of_university_housing
11-3021,chief technology officer,,chief_technology_officer
11-3021,information system director,,information_systems_director
11-3021,information technology system director,,information_technology_systems_director
11-3021,information system manager,,information_systems_manager
11-3021,management information system director,,management_information_systems_director
11-3021,datum operation director,,data_operations_director
11-3021,director,,director
11-3021,officer,,officer
11-3021,computer and information system manager,,computer_and_information_systems_managers
11-3021,application development director,,application_development_director
11-3021,mi director,,mis_director
11-3021,datum processing manager,,data_processing_manager
11-3021,computer security manager,,computer_security_manager
11-3021,internet technology manager,,internet_technology_manager
11-3021,information technology director,,information_technology_director
11-3021,computer operation manager,,computer_operations_manager
11-3031,financial officer,,financial_officer
11-3031,credit manager,,credit_manager
11-3031,treasurer,,treasurer
11-3031,officer,,officer
11-3031,bank branch manager,,bank_branch_manager
11-3031,comptroller,,comptroller
11-3031,financial manager,,financial_managers
11-3031,international bank manager,,international_bank_manager
11-3031,financial director,,financial_director
11-3031,banking center manager,,banking_center_manager
11-3031,director,,director
11-3051,production control manager,,production_control_manager
11-3051,director,,director
11-3051,industrial production manager,,industrial_production_managers
11-3051,manufacturing director,,manufacturing_director
11-3051,plant manager,,plant_manager
11-3051,plant superintendent,,plant_superintendent
11-3051,industrial production manager,,industrial_production_manager
11-3051,chief,,chief
11-3051,superintendent,,superintendent
11-3061,contract administrator,,contract_administrator
11-3061,director of strategic sourcing,,director_of_strategic_sourcing
11-3061,purchasing director,,purchasing_director
11-3061,director,,director
11-3061,administrator,,administrator
11-3061,sourcing manager,,sourcing_manager
11-3061,procurement manager,,procurement_manager
11-3061,contracting manager,,contracting_manager
11-3071,airport manager,,airport_manager
11-3071,warehouse operation manager,,warehouse_operations_manager
11-3071,supervisor,,supervisor
11-3071,administrator,,administrator
11-3071,superintendent,,superintendent
11-3071,officer,,officer
11-3071,warehouse manager,,warehouse_manager
11-3071,transportation manager,,transportation_manager
11-3071,distribution center manager,,distribution_center_manager
11-3071,logistic manager,,logistics_manager
11-3071,marine oil terminal superintendent,,marine_oil_terminal_superintendent
11-3071,logistic supply officer,,logistics_supply_officer
11-3071,cold storage supervisor,,cold_storage_supervisor
11-3071,"transportation , storage , and distribution manager",,"transportation,_storage,_and_distribution_managers"
11-3071,traffic safety administrator,,traffic_safety_administrator
11-3111,coordinator,,coordinator
11-3111,compensation director,,compensation_director
11-3111,employee benefit director,,employee_benefits_director
11-3111,director,,director
11-3111,employee benefit coordinator,,employee_benefits_coordinator
11-3111,compensation and benefit manager,,compensation_and_benefits_managers
11-3111,employee benefit manager,,employee_benefits_manager
11-3111,wage and salary administrator,,wage_and_salary_administrator
11-3121,personnel administrator,,personnel_administrator
11-3121,director,,director
11-3121,administrator,,administrator
11-3121,personnel director,,personnel_director
11-3121,labor relation director,,labor_relations_director
11-3121,employee relation manager,,employee_relations_manager
11-3121,human resource manager,,human_resources_managers
11-3121,job analysi manager,,job_analysis_manager
11-3121,personnel manager,,personnel_manager
11-3121,position description manager,,position_description_manager
11-3131,employee development director,,employee_development_director
11-3131,director,,director
11-3131,employee development manager,,employee_development_manager
11-3131,training and development manager,,training_and_development_managers
11-3131,e - learning manager,,e-learning_manager
11-9013,animal husbandry manager,,animal_husbandry_manager
11-9013,greenhouse manager,,greenhouse_manager
11-9013,agricultural crop farm manager,,agricultural_crop_farm_manager
11-9013,orchard manager,,orchard_manager
11-9013,fish hatchery manager,,fish_hatchery_manager
11-9013,dairy farm manager,,dairy_farm_manager
11-9013,"farmer , rancher , and other agricultural manager",,"farmers,_ranchers,_and_other_agricultural_managers"
11-9013,aquaculture farm manager,,aquaculture_farm_manager
11-9013,operator,,operator
11-9013,beef farm operator,,beef_farm_operator
11-9013,hatchery manager,,hatchery_manager
11-9013,christmas tree farm manager,,christmas_tree_farm_manager
11-9021,coordinator,,coordinator
11-9021,construction superintendent,,construction_superintendent
11-9021,general contractor,,general_contractor
11-9021,construction coordinator,,construction_coordinator
11-9021,contractor,,contractor
11-9021,construction manager,,construction_managers
11-9021,masonry contractor administrator,,masonry_contractor_administrator
11-9021,administrator,,administrator
11-9021,superintendent,,superintendent
11-9031,director,,director
11-9031,administrator,,administrator
11-9031,childcare center director,,childcare_center_director
11-9031,head start director,,head_start_director
11-9031,preschool director,,preschool_director
11-9031,"education and childcare administrator , preschool and day care",,"education_and_childcare_administrators,_preschool_and_day_care"
11-9031,coordinator,,coordinator
11-9031,childcare center administrator,,childcare_center_administrator
11-9032,k - 12 school principal,,k-12_school_principal
11-9032,middle school principal,,middle_school_principal
11-9032,junior high school principal,,junior_high_school_principal
11-9032,elementary school principal,,elementary_school_principal
11-9032,high school principal,,high_school_principal
11-9032,principal,,principal
11-9032,"education administrator , kindergarten through secondary",,"education_administrators,_kindergarten_through_secondary"
11-9033,director,,director
11-9033,dean,,dean
11-9033,graduate study dean,,graduate_studies_dean
11-9033,"education administrator , postsecondary",,"education_administrators,_postsecondary"
11-9033,provost,,provost
11-9033,university dean,,university_dean
11-9033,graduate school dean,,graduate_school_dean
11-9033,continuing education director,,continuing_education_director
11-9041,engineering design manager,,engineering_design_manager
11-9041,mechanical engineering director,,mechanical_engineering_director
11-9041,proces engineering manager,,process_engineering_manager
11-9041,director,,director
11-9041,global engineering manager,,global_engineering_manager
11-9041,engineering manager,,engineering_manager
11-9041,electrical engineering director,,electrical_engineering_director
11-9041,engineering research manager,,engineering_research_manager
11-9051,food service director,,food_service_director
11-9051,banquet director,,banquet_director
11-9051,cafeterium director,,cafeteria_director
11-9051,restaurant general manager,,restaurant_general_manager
11-9051,operator,,operator
11-9051,tavern operator,,tavern_operator
11-9051,food service manager,,food_service_managers
11-9051,director,,director
11-9071,slot operation director,,slot_operations_director
11-9071,table game manager,,table_games_manager
11-9071,gambling director,,gambling_director
11-9071,gambling manager,,gambling_manager
11-9071,director,,director
11-9071,gambling manager,,gambling_managers
11-9071,bingo manager,,bingo_manager
11-9071,casino manager,,casino_manager
11-9071,slot manager,,slots_manager
11-9072,fitnes club manager,,fitness_club_manager
11-9072,tenni club manager,,tennis_club_manager
11-9072,marina club manager,,marina_club_manager
11-9072,amusement park manager,,amusement_park_manager
11-9072,golf club manager,,golf_club_manager
11-9072,boat club manager,,boat_club_manager
11-9072,theme park manager,,theme_park_manager
11-9072,ski resort manager,,ski_resort_manager
11-9072,skating rink manager,,skating_rink_manager
11-9072,"entertainment and recreation manager , except gambling",,"entertainment_and_recreation_managers,_except_gambling"
11-9081,hotel manager,,hotel_manager
11-9081,hotel director,,hotel_director
11-9081,lodging manager,,lodging_managers
11-9081,hotel operation manager,,hotel_operations_manager
11-9081,innkeeper,,innkeeper
11-9081,boardinghouse keeper,,boardinghouse_keeper
11-9081,keeper,,keeper
11-9081,director,,director
11-9081,lodging facility manager,,lodging_facilities_manager
11-9081,bed and breakfast innkeeper,,bed_and_breakfast_innkeeper
11-9111,mental health program manager,,mental_health_program_manager
11-9111,public health administrator,,public_health_administrator
11-9111,nursing home manager,,nursing_home_manager
11-9111,speech and hearing therapy director,,speech_and_hearing_therapy_director
11-9111,hospital director,,hospital_director
11-9111,nursing service director,,nursing_service_director
11-9111,chief medical information officer,,chief_medical_information_officer
11-9111,hospital administrator,,hospital_administrator
11-9111,health service administrator,,health_services_administrator
11-9111,healthcare manager,,healthcare_manager
11-9111,medical and health information manager,,medical_and_health_information_manager
11-9111,officer,,officer
11-9111,health service director,,health_services_director
11-9111,respiratory therapy director,,respiratory_therapy_director
11-9111,healthcare administrator,,healthcare_administrator
11-9111,health information service manager,,health_information_services_manager
11-9111,clinical service director,,clinical_services_director
11-9111,hospice director,,hospice_director
11-9111,emergency medical service coordinator,,emergency_medical_service_coordinator
11-9111,administrator,,administrator
11-9111,hospice plan administrator,,hospice_plan_administrator
11-9111,medical director,,medical_director
11-9111,wellnes manager,,wellness_manager
11-9111,medical record administrator,,medical_records_administrator
11-9111,coordinator,,coordinator
11-9111,wellnes director,,wellness_director
11-9111,occupational therapy director,,occupational_therapy_director
11-9111,clinic director,,clinic_director
11-9111,director,,director
11-9111,medical and health service manager,,medical_and_health_services_managers
11-9121,ocean program administrator,,ocean_program_administrator
11-9121,geophysical manager,,geophysical_manager
11-9121,natural science manager,,natural_sciences_managers
11-9121,geochemical manager,,geochemical_manager
11-9121,administrator,,administrator
11-9121,agricultural research director,,agricultural_research_director
11-9121,director,,director
11-9131,supervisor,,supervisor
11-9131,postmaster,,postmaster
11-9131,postmaster and mail superintendent,,postmasters_and_mail_superintendents
11-9131,postal supervisor,,postal_supervisor
11-9141,apartment manager,,apartment_manager
11-9141,land acquisition manager,,land_acquisition_manager
11-9141,leasing property manager,,leasing_property_manager
11-9141,community association manager,,community_association_manager
11-9141,building rental manager,,building_rental_manager
11-9141,"property , real estate , and community association manager",,"property,_real_estate,_and_community_association_managers"
11-9141,property manager,,property_manager
11-9141,condominium association manager,,condominium_association_manager
11-9151,youth program director,,youth_program_director
11-9151,director,,director
11-9151,child welfare director,,child_welfare_director
11-9151,community service director,,community_service_director
11-9151,neighborhood service center director,,neighborhood_service_center_director
11-9151,social service director,,social_service_director
11-9151,social and community service manager,,social_and_community_service_managers
11-9151,family service center director,,family_service_center_director
11-9151,social service director,,social_services_director
11-9161,director,,director
11-9161,public safety director,,public_safety_director
11-9161,emergency preparednes coordinator,,emergency_preparedness_coordinator
11-9161,em director,,ems_director
11-9161,emergency service program coordinator,,emergency_services_program_coordinator
11-9161,emergency management director,,emergency_management_directors
11-9161,planner,,planner
11-9161,emergency planner,,emergency_planner
11-9161,disaster response director,,disaster_response_director
11-9161,director,,directors
11-9161,coordinator,,coordinator
11-9161,emergency planning and response manager,,emergency_planning_and_response_manager
11-9161,emergency service director,,emergency_services_director
11-9161,director of civil defense,,director_of_civil_defense
11-9171,director,,director
11-9171,funeral service manager,,funeral_service_manager
11-9171,funeral home manager,,funeral_home_manager
11-9171,funeral home manager,,funeral_home_managers
11-9171,funeral home director,,funeral_home_director
11-9179,director,,director
11-9179,"personal service manager , all other",,"personal_service_managers,_all_other"
11-9179,nail salon manager,,nail_salon_manager
11-9179,day spa director,,day_spa_director
11-9199,coordinator,,coordinator
11-9199,administrator,,administrator
11-9199,commander,,commander
11-9199,"manager , all other",,"managers,_all_other"
11-9199,clerk of court,,clerk_of_court
11-9199,highway patrol commander,,highway_patrol_commander
11-9199,utility manager,,utilities_manager
11-9199,safety coordinator,,safety_coordinator
13-1011,talent agent,,talent_agent
13-1011,author 's s agent,,author's_agent
13-1011,talent manager,,talent_manager
13-1011,artist representative,,artist_representative
13-1011,booking manager,,booking_manager
13-1011,"agent and busines manager of artist , performer , and athlete",,"agents_and_business_managers_of_artists,_performers,_and_athletes"
13-1011,booking agent,,booking_agent
13-1011,artist manager,,artist_manager
13-1011,modeling agent,,modeling_agent
13-1011,theatrical agent,,theatrical_agent
13-1011,band manager,,band_manager
13-1011,representative,,representative
13-1011,literary agent,,literary_agent
13-1021,"purchasing agent , cotton , grain , livestock , other farm product",,"purchasing_agent,_cotton,_grain,_livestock,_other_farm_products"
13-1021,tobacco buyer,,tobacco_buyer
13-1021,livestock buyer,,livestock_buyer
13-1021,cattle buyer,,cattle_buyer
13-1021,hog buyer,,hog_buyer
13-1021,broker,,broker
13-1021,grain buyer,,grain_buyer
13-1021,"buyer and purchasing agent , farm product",,"buyers_and_purchasing_agents,_farm_products"
13-1021,oyster buyer,,oyster_buyer
13-1022,gold buyer,,gold_buyer
13-1022,"wholesale and retail buyer , except farm product",,"wholesale_and_retail_buyers,_except_farm_products"
13-1022,wholesale buyer,,wholesale_buyer
13-1023,"equipment , supply , and tool purchasing agent",,"equipment,_supplies,_and_tools_purchasing_agent"
13-1023,radio time buyer,,radio_time_buyer
13-1023,"purchasing agent , except wholesale , retail , and farm product",,"purchasing_agents,_except_wholesale,_retail,_and_farm_products"
13-1031,"claim adjuster , examiner , and investigator",,"claims_adjusters,_examiners,_and_investigators"
13-1031,claim analyst,,claims_analyst
13-1031,property damage claim adjustor,,property_damage_claims_adjustor
13-1031,fire claim adjuster,,fire_claims_adjuster
13-1031,health claim examiner,,health_claims_examiner
13-1031,adjuster,,adjuster
13-1031,property and casualty insurance claim examiner,,property_and_casualty_insurance_claims_examiner
13-1031,adjustor,,adjustor
13-1031,reinsurance claim analyst,,reinsurance_claims_analyst
13-1031,analyst,,analyst
13-1031,medical claim analyst,,medical_claims_analyst
13-1032,auto damage insurance appraiser,,auto_damage_insurance_appraiser
13-1032,auto damage appraiser,,auto_damage_appraiser
13-1032,appraiser,,appraiser
13-1032,"insurance appraiser , auto damage",,"insurance_appraisers,_auto_damage"
13-1032,vehicle damage appraiser,,vehicle_damage_appraiser
13-1041,immigration investigator,,immigration_investigator
13-1041,inspector,,inspector
13-1041,inspector of weight and measure,,inspector_of_weights_and_measures
13-1041,environmental compliance inspector,,environmental_compliance_inspector
13-1041,license inspector,,license_inspector
13-1041,compliance investigator,,compliance_investigator
13-1041,equal employment opportunity investigator,,equal_employment_opportunity_investigator
13-1041,equal employment opportunity officer,,equal_employment_opportunity_officer
13-1041,equal employment opportunity representative,,equal_employment_opportunity_representative
13-1041,representative,,representative
13-1041,mortician investigator,,mortician_investigator
13-1041,officer,,officers
13-1041,officer,,officer
13-1041,air pollution compliance inspector,,air_pollution_compliance_inspector
13-1041,investigator,,investigator
13-1041,compliance officer,,compliance_officers
13-1041,eeo officer,,eeo_officer
13-1041,driver 's s license examiner,,driver's_license_examiner
13-1041,wage and hmy investigator,,wage_and_hour_investigator
13-1051,electrical estimator,,electrical_estimator
13-1051,estimator,,estimators
13-1051,cost estimator,,cost_estimators
13-1051,estimator,,estimator
13-1051,production cost estimator,,production_cost_estimator
13-1051,job estimator,,job_estimator
13-1051,construction estimator,,construction_estimator
13-1071,job placement specialist,,job_placement_specialist
13-1071,coordinator,,coordinator
13-1071,staffing coordinator,,staffing_coordinator
13-1071,personnel specialist,,personnel_specialist
13-1071,job placement officer,,job_placement_officer
13-1071,personnel coordinator,,personnel_coordinator
13-1071,specialist,,specialist
13-1071,employee placement specialist,,employee_placement_specialist
13-1071,personnel officer,,personnel_officer
13-1071,personnel recruiter,,personnel_recruiter
13-1071,generalist,,generalist
13-1071,officer,,officer
13-1071,credentialing coordinator,,credentialing_coordinator
13-1071,job recruiter,,job_recruiter
13-1071,corporate recruiter,,corporate_recruiter
13-1071,student recruiter,,student_recruiter
13-1071,volunteer coordinator,,volunteer_coordinator
13-1071,specialist,,specialists
13-1071,recruiter,,recruiter
13-1074,farm labor contractor,,farm_labor_contractors
13-1074,contractor,,contractors
13-1074,farm labor contractor,,farm_labor_contractor
13-1074,contractor,,contractor
13-1075,specialist,,specialists
13-1075,industrial relation analyst,,industrial_relations_analyst
13-1075,labor relation specialist,,labor_relations_specialists
13-1075,specialist,,specialist
13-1075,consultant,,consultant
13-1075,employee relation specialist,,employee_relations_specialist
13-1075,industrial relation specialist,,industrial_relations_specialist
13-1075,representative,,representative
13-1075,labor relation representative,,labor_relations_representative
13-1075,labor relation consultant,,labor_relations_consultant
13-1075,analyst,,analyst
13-1081,logistician,,logisticians
13-1081,logistic analyst,,logistics_analyst
13-1081,logistician,,logistician
13-1081,planner,,planner
13-1081,logistic coordinator,,logistics_coordinator
13-1081,logistic specialist,,logistics_specialist
13-1081,specialist,,specialist
13-1081,logistic planner,,logistics_planner
13-1081,coordinator,,coordinator
13-1081,analyst,,analyst
13-1082,project management specialist,,project_management_specialists
13-1082,specialist,,specialists
13-1082,design project management specialist,,design_project_management_specialists
13-1111,analyst,,analyst
13-1111,analyst,,analysts
13-1111,commercial specialist,,commercial_specialist
13-1111,busines proces consultant,,business_process_consultant
13-1111,busines management analyst,,business_management_analyst
13-1111,management analyst,,management_analysts
13-1111,consultant,,consultant
13-1111,specialist,,specialist
13-1111,busines consultant,,business_consultant
13-1111,busines analyst,,business_analyst
13-1111,university institutional researcher,,university_institutional_researcher
13-1111,clerical method analyst,,clerical_methods_analyst
13-1111,industrial analyst,,industrial_analyst
13-1111,researcher,,researcher
13-1121,convention service manager,,convention_services_manager
13-1121,"meeting , convention , and event planner",,"meeting,_convention,_and_event_planners"
13-1121,conference service director,,conference_services_director
13-1121,conference service manager,,conference_services_manager
13-1121,corporate meeting planner,,corporate_meeting_planner
13-1121,professional,,professional
13-1121,event planner,,event_planner
13-1121,organizer,,organizer
13-1121,planner,,planner
13-1121,conference planning manager,,conference_planning_manager
13-1121,conference organizer,,conference_organizer
13-1121,director,,director
13-1121,wedding planner,,wedding_planner
13-1121,event manager,,events_manager
13-1131,campaign fundraiser,,campaign_fundraiser
13-1131,fundraiser,,fundraiser
13-1131,fundraising officer,,fundraising_officer
13-1131,fundraiser,,fundraisers
13-1131,officer,,officer
13-1131,donor relation officer,,donor_relations_officer
13-1141,analyst,,analyst
13-1141,benefit analyst,,benefits_analyst
13-1141,employee benefit specialist,,employee_benefits_specialist
13-1141,position classification specialist,,position_classification_specialist
13-1141,writer,,writer
13-1141,occupational analyst,,occupational_analyst
13-1141,job specification writer,,job_specification_writer
13-1141,specialist,,specialist
13-1141,compensation specialist,,compensation_specialist
13-1141,retirement plan specialist,,retirement_plan_specialist
13-1141,administrator,,administrator
13-1141,"compensation , benefit , and job analysi specialist",,"compensation,_benefits,_and_job_analysis_specialists"
13-1141,pension administrator,,pension_administrator
13-1141,compensation analyst,,compensation_analyst
13-1151,coordinator,,coordinator
13-1151,training and development specialist,,training_and_development_specialists
13-1151,employee development specialist,,employee_development_specialist
13-1151,insurance employee trainer,,insurance_employee_trainer
13-1151,computer training specialist,,computer_training_specialist
13-1151,job training specialist,,job_training_specialist
13-1151,trainer,,trainer
13-1151,training specialist,,training_specialist
13-1151,specialist,,specialist
13-1151,corporate trainer,,corporate_trainer
13-1151,computer software training specialist,,computer_software_training_specialist
13-1151,training coordinator,,training_coordinator
13-1161,marketing forecaster,,marketing_forecaster
13-1161,specialist,,specialist
13-1161,analyst,,analyst
13-1161,market research analyst,,market_research_analyst
13-1161,market research specialist,,market_research_specialist
13-1161,marketing analyst,,marketing_analyst
13-1161,market research analyst and marketing specialist,,market_research_analysts_and_marketing_specialists
13-1161,consultant,,consultant
13-1161,advertising analyst,,advertising_analyst
13-1161,marketing specialist,,marketing_specialist
13-1161,forecaster,,forecaster
13-1161,marketing consultant,,marketing_consultant
13-1199,mystery shopper,,mystery_shopper
13-1199,ship purser,,ship_purser
13-1199,purser,,purser
13-1199,shopper,,shopper
13-1199,"busines operation specialist , all other",,"business_operations_specialists,_all_other"
13-2011,certified public accountant,,certified_public_accountant
13-2011,auditor - in - charge,,auditor-in-charge
13-2011,financial auditor,,financial_auditor
13-2011,internal auditor,,internal_auditor
13-2011,cost accountant,,cost_accountant
13-2011,fund accountant,,fund_accountant
13-2011,accountant and auditor,,accountants_and_auditors
13-2011,financial accountant,,financial_accountant
13-2011,auditor,,auditor
13-2011,account auditor,,account_auditor
13-2011,tax accountant,,tax_accountant
13-2011,accountant,,accountant
13-2022,assessor,,assessor
13-2022,appraiser of personal and busines property,,appraisers_of_personal_and_business_property
13-2022,estate appraiser,,estate_appraiser
13-2022,appraiser,,appraiser
13-2022,personal property assessor,,personal_property_assessor
13-2022,machinery appraiser,,machinery_appraiser
13-2023,residential fee appraiser,,residential_fee_appraiser
13-2023,appraiser and assessor of real estate,,appraisers_and_assessors_of_real_estate
13-2023,appraiser,,appraiser
13-2023,assessor,,assessor
13-2023,real property evaluator,,real_property_evaluator
13-2023,real estate appraiser,,real_estate_appraiser
13-2023,real estate assessor,,real_estate_assessor
13-2031,budget coordinator,,budget_coordinator
13-2031,analyst,,analyst
13-2031,coordinator,,coordinator
13-2031,analyst,,analysts
13-2031,cost analyst,,cost_analyst
13-2031,officer,,officer
13-2031,budget officer,,budget_officer
13-2031,budget analyst,,budget_analysts
13-2031,budget analyst,,budget_analyst
13-2031,budget examiner,,budget_examiner
13-2041,chief credit analyst,,chief_credit_analyst
13-2041,analyst,,analyst
13-2041,credit assessment analyst,,credit_assessment_analyst
13-2041,credit risk analyst,,credit_risk_analyst
13-2041,credit analyst,,credit_analysts
13-2041,analyst,,analysts
13-2041,credit analyst,,credit_analyst
13-2051,financial and investment analyst,,financial_and_investment_analysts
13-2051,analyst,,analyst
13-2051,institutional commodity analyst,,institutional_commodity_analyst
13-2051,organizational investment analyst,,organizational_investment_analyst
13-2051,corporate security research analyst,,corporate_securities_research_analyst
13-2051,corporate statistical financial analyst,,corporate_statistical_financial_analyst
13-2052,personal financial planner,,personal_financial_planner
13-2052,individual pension adviser,,individual_pension_adviser
13-2052,consultant,,consultant
13-2052,personal financial advisor,,personal_financial_advisors
13-2052,individual pension consultant,,individual_pension_consultant
13-2052,advisor,,advisors
13-2052,planner,,planner
13-2052,personal investment adviser,,personal_investment_adviser
13-2052,certified financial planner,,certified_financial_planner
13-2052,estate planner,,estate_planner
13-2052,financial counselor,,financial_counselor
13-2052,counselor,,counselor
13-2052,adviser,,adviser
13-2052,estate planning counselor,,estate_planning_counselor
13-2053,underwriting service representative,,underwriting_service_representative
13-2053,insurance underwriter,,insurance_underwriter
13-2053,underwriter,,underwriter
13-2053,representative,,representative
13-2053,insurance underwriter,,insurance_underwriters
13-2053,writer,,writer
13-2053,insurance writer,,insurance_writer
13-2053,underwriter,,underwriters
13-2053,automobile and property underwriter,,automobile_and_property_underwriter
13-2053,insurance analyst,,insurance_analyst
13-2053,underwriting account representative,,underwriting_account_representative
13-2053,analyst,,analyst
13-2053,bond underwriter,,bond_underwriter
13-2054,financial risk analyst,,financial_risk_analyst
13-2054,analyst,,analyst
13-2054,specialist,,specialists
13-2061,bank compliance officer,,bank_compliance_officer
13-2061,pension examiner,,pension_examiner
13-2061,payroll examiner,,payroll_examiner
13-2061,bank examiner,,bank_examiner
13-2061,home mortgage disclosure act specialist,,home_mortgage_disclosure_act_specialist
13-2061,financial compliance examiner,,financial_compliance_examiner
13-2061,officer,,officer
13-2061,financial examiner,,financial_examiners
13-2061,specialist,,specialist
13-2071,counselor,,counselors
13-2071,student financial aid counselor,,student_financial_aid_counselor
13-2071,counselor,,counselor
13-2071,credit counselor,,credit_counselors
13-2071,debt management counselor,,debt_management_counselor
13-2071,credit counselor,,credit_counselor
13-2072,officer,,officer
13-2072,officer,,officers
13-2072,loan analyst,,loan_analyst
13-2072,branch lending officer,,branch_lending_officer
13-2072,loan officer,,loan_officers
13-2072,commercial lender,,commercial_lender
13-2072,lender,,lender
13-2072,loan reviewer,,loan_reviewer
13-2072,reviewer,,reviewer
13-2072,analyst,,analyst
13-2072,payday loan officer,,payday_loan_officer
13-2072,loan officer,,loan_officer
13-2072,real estate loan officer,,real_estate_loan_officer
13-2081,representative,,representative
13-2081,internal revenue agent,,internal_revenue_agent
13-2081,tax revenue officer,,tax_revenue_officer
13-2081,tax compliance officer,,tax_compliance_officer
13-2081,tax compliance representative,,tax_compliance_representative
13-2081,investigator,,investigator
13-2081,adjuster,,adjuster
13-2081,custom appraiser,,customs_appraiser
13-2081,internal revenue service agent,,internal_revenue_service_agent
13-2081,revenue enforcement agent,,revenue_enforcement_agent
13-2081,tax investigator,,tax_investigator
13-2081,"tax examiner and collector , and revenue agent",,"tax_examiners_and_collectors,_and_revenue_agents"
13-2081,appraiser,,appraiser
13-2081,tax examiner,,tax_examiner
13-2081,city collector,,city_collector
13-2081,officer,,officer
13-2081,income tax adjuster,,income_tax_adjuster
13-2081,revenue collector,,revenue_collector
13-2082,consultant,,consultant
13-2082,tax preparer,,tax_preparers
13-2082,corporate tax preparer,,corporate_tax_preparer
13-2082,specialist,,specialist
13-2082,licensed tax consultant,,licensed_tax_consultant
13-2082,tax specialist,,tax_specialist
13-2082,advisor,,advisor
13-2082,income tax advisor,,income_tax_advisor
13-2082,tax consultant,,tax_consultant
13-2082,income tax preparer,,income_tax_preparer
13-2099,trader,,trader
13-2099,executor of estate,,executor_of_estate
13-2099,foreign exchange trader,,foreign_exchange_trader
13-2099,bail bondsman,,bail_bondsman
15-1211,analyst,,analyst
15-1211,analyst,,analysts
15-1211,system architect,,systems_architect
15-1211,application analyst,,applications_analyst
15-1211,planner,,planner
15-1211,computer system consultant,,computer_systems_consultant
15-1211,information system analyst,,information_systems_analyst
15-1211,datum processing system analyst,,data_processing_systems_analyst
15-1211,consultant,,consultant
15-1211,programmer analyst,,programmer_analyst
15-1211,architect,,architect
15-1212,information security analyst,,information_security_analyst
15-1212,it risk specialist,,it_risk_specialist
15-1212,analyst,,analyst
15-1212,analyst,,analysts
15-1212,information system security analyst,,information_systems_security_analyst
15-1212,network security analyst,,network_security_analyst
15-1212,computer system security analyst,,computer_systems_security_analyst
15-1212,specialist,,specialist
15-1212,information security analyst,,information_security_analysts
15-1221,programming methodology and language researcher,,programming_methodology_and_languages_researcher
15-1221,control system computer scientist,,control_system_computer_scientist
15-1221,scientist,,scientist
