year,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
2007,0.026417299482560816,0.014516393378651536,0.06543888676432713,0.06833631205563057,0.06484281711685697,0.007957676128337405,0.009466873746400168,0.046966581077178826,0.05148051603437107,0.05668124809765006,0.02937423418220415,0.08334731641835309,0.00689040903450375,0.0655335164792283,0.0747272322857076,0.08020795123740547,0.07805000351203066,0.04239118558350438,0.03548321639572,0.09189033098937806
2008,0.06276193015195948,0.10580111970141295,0.007876566249000266,0.10078512396694216,0.05173553719008264,0.12098906958144495,0.015398560383897628,0.08987203412423354,0.0487110103972274,0.03012929885363903,0.005551852839242868,0.01945881098373767,0.013131165022660624,0.0013623033857637964,0.05159690749133564,0.11536656891495602,0.0442535323913623,0.037589976006398296,0.06370967741935483,0.013918954945347907
2009,0.057507366082210305,0.08122373569047964,0.012772303530889243,0.004908708882770613,0.007308119596193788,0.11402936772448437,0.038802347485871615,0.04462275998647539,0.09108945563444912,0.021620055064483407,0.04879969086605806,0.03722407380572864,0.10023064290199488,0.07360527459788437,0.0002608317635125344,0.048026856011206105,0.014309520359368208,0.08643191807950538,0.011853354586291841,0.10537361735014249
2010,0.04018977836535405,0.07297346479256146,0.10205958637261543,0.07746469609371404,0.06009940562713901,0.09634058376140896,0.06822023586363846,0.009722414061489418,0.0006084045331070726,0.044764322719688845,0.07725750968514243,0.0007103534008169064,0.1066779797023093,0.009344216649017453,0.04454946274042941,0.06270951588538755,0.009522901223605657,0.07617005509623753,0.009950428733356574,0.030664684692980438
2011,0.03350080744308095,0.04937194216097865,0.0027174140752472308,0.0545122840284287,0.024448346986244138,0.11925497364587187,0.11065501650200574,0.06573029605448236,0.029304976459053837,0.11491429371774567,0.040361380159046535,0.010140623185647265,0.05988127174978722,0.11846488849624051,0.03272748167541147,0.03452432684146702,0.03577768919247312,0.007115554741528432,0.01623505272621275,0.040361380159046535
2012,0.030537791380850082,0.03139213067796938,0.08403307131751654,0.04414915824077991,0.032042792537479874,0.08792413983147306,0.05579195040961284,0.0695351085527013,0.024306736377804138,0.054949592138235234,0.09061341930180111,0.03658820938040586,0.08163317969971863,0.03592188002569469,0.034686912756935404,0.03722596859680991,0.01859916003793377,0.06812964207146405,0.041299517348986084,0.04063963931582813
2013,0.024275611245368277,0.030322072026030978,0.039988587894102055,0.06733320238445464,0.08284620054198615,0.0812650372715468,0.0849437527163745,0.024773335490138396,0.011025480814952348,0.06929121401164852,0.01241644232042598,0.07324901055086519,0.038571851383095684,0.00607223578619544,0.014188696149125294,0.07857021600343429,0.06339940326418225,0.0719140430229282,0.0771090398277163,0.04844456729542867
2014,0.10669386705640359,0.019553381328714228,0.08964287647504601,0.002625311248240771,0.025287791851611275,0.058456028292014,0.031079715636389883,0.038962415647215906,0.039571379596550105,0.0641160098877702,0.09715455956118509,0.021217882790227707,0.019398884919346108,0.05659079426942369,0.028142028436361013,0.04652033488506369,0.04112310995633503,0.087691936415142,0.09849766338277219,0.027674028364187506
2015,0.0034700884841263797,0.0057925229296060315,0.09970400959021447,0.0454314501026107,0.05309986572447748,0.09181962634471146,0.04649772503669885,0.007487920941243243,0.055300231513119254,0.08058200666265336,0.003907240340665452,0.020892520112637026,0.054173443911538825,0.05785011012262162,0.06476524736639482,0.001983354843152209,0.061503823252931474,0.10017559106791295,0.071316265283361,0.07424695636932342
2016,0.08986150600336841,0.09300240859124577,0.08562836161466161,0.07805737155689164,0.04056914286749126,0.053482496966623806,0.08041842481754469,0.02458732501494051,0.007500814936887665,0.059633006754921315,0.0610636737354896,0.0041369365616907225,0.02807231206649885,0.0716114471468154,0.03603605642985205,0.0183666401057607,0.02728340788496713,0.043620628769083104,0.09154004962060161,0.005527988554664155
2017,0.08260813619014908,0.02686193036688947,0.09418596050753161,0.08156150168241684,0.04283805129420967,0.0880034205596303,0.07621991685689476,0.06107867185829805,0.08949484940317516,0.015023713921252152,0.05266810743556308,0.05169746284852777,0.010860479466003629,0.04884632102397938,0.041683004499616504,0.04515118448022388,0.0469222562319334,0.012473492182663559,0.010614272122945613,0.021207267068096086
